business_zip,dba_name,ownership_name,city,full_business_address,neighborhoods_analysis_boundaries,location,location_start_date,location_end_date,lic_code_description
94103,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,625 8th St B1,South of Market,,2019-04-11T00:00:00.000,,Multiple
95838,Peet's Coffee,"California Sheet Metal, Inc.",Sacramento,3800 Pell Cir,,,2016-07-25T00:00:00.000,,Multiple
94123,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,2156 Chestnut St,,"{'type': 'Point', 'coordinates': [-122.438913, 37.800474]}",1989-01-01T00:00:00.000,2013-05-31T00:00:00.000,
94127,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,54 West Portal Ave,West of Twin Peaks,"{'type': 'Point', 'coordinates': [-122.466578, 37.740177]}",1989-01-01T00:00:00.000,,Multiple
94114,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,2257 Market St,Castro/Upper Market,"{'type': 'Point', 'coordinates': [-122.432007, 37.764979]}",1992-01-10T00:00:00.000,,Multiple
94104,Peet's Coffee And Tea,Peet's Coffee & Tea Inc,San Francisco,155 Montgomery St,Financial District/South Beach,,2017-04-17T00:00:00.000,,Multiple
94103,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,855 Brannan St,South of Market,,2018-05-11T00:00:00.000,2018-05-31T00:00:00.000,Multiple
94105,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,595 Mission St,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.399703, 37.788081]}",2002-01-01T00:00:00.000,,Multiple
94111,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,22 Battery St,,"{'type': 'Point', 'coordinates': [-122.399629, 37.791547]}",1995-08-01T00:00:00.000,,Multiple
94105,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,405 Howard St,,"{'type': 'Point', 'coordinates': [-122.395477, 37.788955]}",2007-01-04T00:00:00.000,,Multiple
94118,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,3419 California St,Presidio Heights,"{'type': 'Point', 'coordinates': [-122.45046, 37.786755]}",1989-01-01T00:00:00.000,,Multiple
94115,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,2197 Fillmore St,Pacific Heights,"{'type': 'Point', 'coordinates': [-122.434031, 37.78982]}",1995-08-01T00:00:00.000,,Multiple
94132,Peet's Coffee & Tea Inc,Peet's Coffee & Tea Inc,San Francisco,3251 20th Ave,Lakeshore,"{'type': 'Point', 'coordinates': [-122.475605, 37.727905]}",2013-06-24T00:00:00.000,,Multiple
94117,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,919 Cole St,Haight Ashbury,"{'type': 'Point', 'coordinates': [-122.449934, 37.76564]}",2013-07-29T00:00:00.000,,Multiple
94132,Peet's Coffee & Tea,Emmar Brands Corporation,San Francisco,1630 Holloway Ave,Lakeshore,"{'type': 'Point', 'coordinates': [-122.477631, 37.720868]}",2012-04-09T00:00:00.000,,"Restaurant Less Than 1,000 Sqft"
94123,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,2080 Chestnut St,Marina,"{'type': 'Point', 'coordinates': [-122.437864, 37.800607]}",2014-02-01T00:00:00.000,,Multiple
94105,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,121 Spear St,Financial District/South Beach,,2016-07-22T00:00:00.000,,Multiple
94102,Peet's Coffee & Tea,Peet's Coffee & Tea,San Francisco,1400 Mission St Ste 130,South of Market,,2016-10-07T00:00:00.000,2016-10-07T00:00:00.000,Multiple
94105,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,692 Mission St,Financial District/South Beach,,2006-07-10T00:00:00.000,,Multiple
94102,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,1400 Mission St Ste 130,South of Market,,2018-01-01T00:00:00.000,,Multiple
94110,Phil'z Coffee,Philz Coffee Inc,San Francisco,3101 24th St,Mission,"{'type': 'Point', 'coordinates': [-122.414084, 37.752505]}",2007-04-01T00:00:00.000,,Multiple
94114,Phil'z Coffee,Philz Coffee Inc,San Francisco,4298 24th St,Noe Valley,"{'type': 'Point', 'coordinates': [-122.438524, 37.751028]}",2012-03-30T00:00:00.000,,Multiple
94114,Phil'z Coffee,Philz Coffee Inc,San Francisco,4023 18th St,Castro/Upper Market,"{'type': 'Point', 'coordinates': [-122.433294, 37.760994]}",2007-08-01T00:00:00.000,2015-10-05T00:00:00.000,
94110,Phil'z Coffee,Philz Coffee Inc,San Francisco,1300 Potrero Ave,Mission,"{'type': 'Point', 'coordinates': [-122.406211, 37.751148]}",2009-11-01T00:00:00.000,2015-02-28T00:00:00.000,
94124,Phil'z Coffee,Philz Coffee Inc,San Francisco,301 Toland Street,Bayview Hunters Point,"{'type': 'Point', 'coordinates': [-122.397423, 37.745551]}",2012-04-01T00:00:00.000,2015-06-22T00:00:00.000,
94102,Phil'z Coffee,Philz Coffee Inc,San Francisco,399 Golden Gate Ave,Tenderloin,"{'type': 'Point', 'coordinates': [-122.416884, 37.781482]}",2013-02-01T00:00:00.000,,Multiple
94109,Phil'z Coffee,Philz Coffee Inc,San Francisco,2234 Polk St,,,2019-06-10T00:00:00.000,,
94111,Phil'z Coffee,Philz Coffee Inc,San Francisco,1 Front St,,"{'type': 'Point', 'coordinates': [-122.398473, 37.791868]}",2015-03-10T00:00:00.000,,Multiple
94111,Phil'z Coffee,Philz Coffee Inc,San Francisco,5 Embarcadero Ctr,,"{'type': 'Point', 'coordinates': [-122.396158, 37.795106]}",2015-06-02T00:00:00.000,,Multiple
,Phil'z Coffee,Philz Coffee Inc,San Francisco,1258 Minnesota St,Potrero Hill,"{'type': 'Point', 'coordinates': [-122.389903, 37.754289]}",2015-02-01T00:00:00.000,,Multiple
94158,Phil'z Coffee,Philz Coffee Inc,San Francisco,201 Berry St,Mission Bay,"{'type': 'Point', 'coordinates': [-122.391601, 37.777184]}",2007-04-01T00:00:00.000,,Multiple
94114,Phil'z Coffee,Philz Coffee Inc,San Francisco,549 Castro St,Castro/Upper Market,"{'type': 'Point', 'coordinates': [-122.434916, 37.760068]}",2015-04-23T00:00:00.000,,Multiple
94103,Phil'z Coffee,Philz Coffee Inc,San Francisco,1775 17th St,Potrero Hill,"{'type': 'Point', 'coordinates': [-122.401616, 37.764886]}",2015-04-23T00:00:00.000,,Multiple
94112,Phil'z Coffee,Philz Coffee Inc,San Francisco,1100 Ocean Ave,West of Twin Peaks,"{'type': 'Point', 'coordinates': [-122.45412, 37.72345]}",2016-05-31T00:00:00.000,2016-06-26T00:00:00.000,
94112,Phil'z Coffee,Philz Coffee Inc,San Francisco,1110 Ocean Ave,West of Twin Peaks,,2016-06-27T00:00:00.000,,Multiple
94105,Phil'z Coffee,Philz Coffee Inc,San Francisco,300 Folsom St,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.392895, 37.788565]}",2007-04-01T00:00:00.000,,Multiple
94111,Blue Bottle Coffee,Blue Bottle Coffee Inc,San Francisco,1 Ferry Bldg North Arcade 56,,,2015-11-20T00:00:00.000,,Multiple
94607,Blue Bottle Coffee,Blue Bottle Coffee Inc,San Francisco,1 Ferry Bldg Mkt Place,,,2016-11-29T00:00:00.000,,Multiple
94103,Blue Bottle Coffee,Blue Bottle Coffee Inc,San Francisco,705 Market St,Financial District/South Beach,,2019-09-10T00:00:00.000,,
94111,Blue Bottle Coffee,Blue Bottle Coffee Llc,San Francisco,1 Ferry Bldg Plaza,,,2015-08-19T00:00:00.000,,Mobile Food Facility 4
94103,Blue Bottle Coffee,Blue Bottle Coffee Inc,San Francisco,703 Market St,,,2019-08-09T00:00:00.000,,
94111,Blue Bottle Ferry Building,Blue Bottle Ferry Building Llc,San Francisco,1 Ferry Bldg Mkt Place 7,,,2009-04-02T00:00:00.000,2016-12-28T00:00:00.000,
94104,Blue Bottle Coffee,Blue Bottle Coffee Inc,San Francisco,199 Sutter St,,,2019-08-06T00:00:00.000,,
94107,Blue Bottle Coffee,Blue Bottle Coffee Inc,San Francisco,2 South Park St,,"{'type': 'Point', 'coordinates': [-122.392981, 37.782359]}",2016-06-07T00:00:00.000,,Multiple
94103,Blue Bottle Coffee,Blue Bottle Coffee Llc,San Francisco,1355 Market St #100,,"{'type': 'Point', 'coordinates': [-122.416681, 37.777203]}",2014-11-10T00:00:00.000,,Multiple
94111,Blue Bottle Coffee Llc,Blue Bottle Coffee Llc,San Francisco,1 Ferry Bldg Plaza,,,2011-01-01T00:00:00.000,,
94104,Blue Bottle Coffee,Blue Bottle Coffee Llc,San Francisco,115 Sansome St,,"{'type': 'Point', 'coordinates': [-122.400816, 37.791458]}",2014-11-10T00:00:00.000,,Multiple
94103,Blue Bottle Coffee,Blue Bottle Coffee Llc,San Francisco,1 Mint Plz,South of Market,,2014-11-10T00:00:00.000,,Multiple
94102,Blue Bottle Coffee Llc,Blue Bottle Coffee Llc,San Francisco,315 Linden St,Hayes Valley,"{'type': 'Point', 'coordinates': [-122.423131, 37.776396]}",2008-08-18T00:00:00.000,,Multiple
94103,Blue Bottle Coffee Llc,Blue Bottle Coffee Llc,San Francisco,151 3rd St,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.401139, 37.785539]}",2009-05-14T00:00:00.000,2013-06-02T00:00:00.000,
94103,Blue Bottle Coffee Llc,Blue Bottle Coffee Llc,San Francisco,66 Mint St,South of Market,"{'type': 'Point', 'coordinates': [-122.407489, 37.782437]}",2010-01-01T00:00:00.000,,Multiple
94110,Blue Bottle Coffee Llc,Blue Bottle Coffee Llc,San Francisco,550 Florida Street,Mission,"{'type': 'Point', 'coordinates': [-122.411189, 37.762488]}",2012-07-06T00:00:00.000,2016-10-17T00:00:00.000,
94115,Blue Bottle Coffee,Blue Bottle Coffee Llc,San Francisco,2401 Jackson St,Pacific Heights,"{'type': 'Point', 'coordinates': [-122.434844, 37.792437]}",2015-10-21T00:00:00.000,2015-10-21T00:00:00.000,
94113,Blue Bottle Coffee Inc,Blue Bottle Coffee Inc,San Francisco,909 Montgomery St Ste 105,North Beach,,2019-02-22T00:00:00.000,,
94109,Blue Bottle Coffee,Blue Bottle Coffee Inc,San Francisco,628 California St,Chinatown,,2017-01-06T00:00:00.000,,Multiple
94105,Blue Bottle Coffee,Blue Bottle Coffee Inc,San Francisco,168 2nd Street St,Financial District/South Beach,,2018-09-05T00:00:00.000,,Multiple
94115,Blue Bottle Coffee,Blue Bottle Coffee Inc,San Francisco,2453 Fillmore St,Pacific Heights,"{'type': 'Point', 'coordinates': [-122.434514, 37.792185]}",2016-04-26T00:00:00.000,,Multiple
94110,Sightglass Coffee,Sightglass Coffee Roasters Llc,San Francisco,3014 20th St,Mission,"{'type': 'Point', 'coordinates': [-122.410979, 37.759121]}",2016-01-01T00:00:00.000,,Multiple
94103,Sightglass Coffee Roasters Llc,Sightglass Coffee Roasters Llc,San Francisco,270 7th St,South of Market,"{'type': 'Point', 'coordinates': [-122.408279, 37.777081]}",2009-10-01T00:00:00.000,,Multiple
94110,Sightglass Coffee,Sightglass Coffee 20th St Llc,San Francisco,3014 20th St,,"{'type': 'Point', 'coordinates': [-122.410979, 37.759121]}",2014-02-01T00:00:00.000,2015-12-31T00:00:00.000,
94103,Sightglass Coffee,Sightglass Coffee Roasters Llc,San Francisco,151 3rd St,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.401139, 37.785539]}",2016-04-15T00:00:00.000,,Multiple
94117,Sightglass Coffee,Sightglass Coffee Roasters Llc,San Francisco,301 Divisadero St,Haight Ashbury,,2016-08-12T00:00:00.000,,"Restaurant 1,000 - 2,000 Sqft"
94110,Ritual Coffee Roasters,Ritual Coffee Roasters Inc,San Francisco,3141 17th St,,,2019-02-15T00:00:00.000,,
94114,Ritual Coffee Roasters,Ritual Coffee Roasters Inc,San Francisco,2299 Market St A,Castro/Upper Market,,2017-05-08T00:00:00.000,,Multiple
94117,Ritual Coffee Roasters,Ritual Coffee Roasters Inc,San Francisco,1300 Haight St,Haight Ashbury,"{'type': 'Point', 'coordinates': [-122.443956, 37.770378]}",2016-03-21T00:00:00.000,,"Restaurant Less Than 1,000 Sqft"
94114,Ritual Coffee,Ritual Coffee Roasters Inc,San Francisco,2299 Market St Unit A,Castro/Upper Market,,2017-05-08T00:00:00.000,2017-06-09T00:00:00.000,
94110,Ritual Coffee Roasters,Ritual Coffee Roasters Inc,San Francisco,1026 Valencia St,Mission,"{'type': 'Point', 'coordinates': [-122.421082, 37.756444]}",2008-01-01T00:00:00.000,,Multiple
94103,Ritual Coffee Roasters,Ritual Coffee Roasters Inc,San Francisco,1050 Howard St,South of Market,"{'type': 'Point', 'coordinates': [-122.408401, 37.778752]}",2009-11-01T00:00:00.000,,
94124,Ritual Coffee Roasters,Ritual Coffee Roasters Inc,San Francisco,1634 Jerrold Ave,Bayview Hunters Point,"{'type': 'Point', 'coordinates': [-122.390244, 37.739296]}",2009-01-01T00:00:00.000,,Multiple
94102,Ritual Coffee Roasters,Ritual Coffee Roasters Inc,San Francisco,432 Octavia St,Hayes Valley,"{'type': 'Point', 'coordinates': [-122.424298, 37.776343]}",2011-05-12T00:00:00.000,,"Restaurant Less Than 1,000 Sqft"
94103,Fourbarrel Coffee,Fourbarrel Coffee,San Francisco,375 Valencia St,Mission,"{'type': 'Point', 'coordinates': [-122.422088, 37.766975]}",2007-07-27T00:00:00.000,,"Restaurant Greater Than 2,000 Sqft"
94134,Fourbarrel Coffee,Fourbarrel Coffee,San Francisco,2599 San Bruno Ave,Portola,"{'type': 'Point', 'coordinates': [-122.404136, 37.728906]}",2013-06-10T00:00:00.000,,
94111,Fourbarrel Coffee,Fourbarrel Coffee,San Francisco,1 Columbus Ave,Chinatown,"{'type': 'Point', 'coordinates': [-122.403589, 37.795745]}",2015-06-01T00:00:00.000,2016-06-01T00:00:00.000,
94122,Fourbarrel Coffee,Fourbarrel Coffee,San Francisco,1226 9th Ave,Inner Sunset,"{'type': 'Point', 'coordinates': [-122.4664, 37.765337]}",2015-06-01T00:00:00.000,2018-04-01T00:00:00.000,
94117,The Mill,Fourbarrel Coffee,San Francisco,736 Divisadero St,Hayes Valley,"{'type': 'Point', 'coordinates': [-122.438046, 37.776408]}",2012-12-19T00:00:00.000,,Multiple
94124,Trouble Coffee Company,Carrelli Jiulietta M,San Francisco,1730 Yosemite St,,"{'type': 'Point', 'coordinates': [-122.394106, 37.728236]}",2012-11-17T00:00:00.000,2017-07-04T00:00:00.000,"Restaurant Less Than 1,000 Sqft"
94122,Trouble Coffee Company,Carrelli Jiulietta M,San Francisco,4033 Judah St,Sunset/Parkside,"{'type': 'Point', 'coordinates': [-122.505198, 37.760462]}",2007-06-25T00:00:00.000,,"Restaurant Less Than 1,000 Sqft"
94105,Andytown Coffee Roasters,Andytown Llc,San Francisco,181 Fremont St,Financial District/South Beach,,2018-10-31T00:00:00.000,,"Restaurant 1,000 - 2,000 Sqft"
94122,Andytown Coffee Roasters,Andytown Llc,San Francisco,3016 Taraval,,,2017-02-03T00:00:00.000,,Retail Food Market W/food Prep. Lt 5001 Sqft
94116,Andytown Coffee Roasters,Andytown Llc,San Francisco,3629 Taraval,,,2017-02-03T00:00:00.000,,"Restaurant Less Than 1,000 Sqft"
94122,Andytown Coffee Roasters,Andytown Llc,San Francisco,3655 Lawton St,Sunset/Parkside,"{'type': 'Point', 'coordinates': [-122.502115, 37.756838]}",2013-06-14T00:00:00.000,,"Restaurant Less Than 1,000 Sqft"
94122,Snowbird Coffee,Brunmeda Llc,San Francisco,1352 9th Ave,Inner Sunset,"{'type': 'Point', 'coordinates': [-122.46624, 37.763074]}",2014-07-04T00:00:00.000,,"Restaurant Less Than 1,000 Sqft"
94117,Flywheel Coffee Roasters,Flywheel Coffee Inc,San Francisco,672 Stanyan St,,,2016-07-01T00:00:00.000,,"Restaurant Less Than 1,000 Sqft"
94117,Flywheel Coffee Roasters,Guerrero Aquiles,San Francisco,672 Stanyan St,Haight Ashbury,"{'type': 'Point', 'coordinates': [-122.453639, 37.769652]}",2012-04-17T00:00:00.000,2016-06-30T00:00:00.000,
94118,Fifty/fifty,18 Grams Llc,San Francisco,3157 Geary Blvd,Lone Mountain/USF,"{'type': 'Point', 'coordinates': [-122.45273, 37.781718]}",2012-08-15T00:00:00.000,,
94123,Wrecking Ball Coffee Roasters,Wrecking Ball Coffee Roasters,San Francisco,2271 Union St,,"{'type': 'Point', 'coordinates': [-122.436661, 37.796935]}",2014-09-05T00:00:00.000,,"Restaurant Less Than 1,000 Sqft"
94121,Wrecking Ball Coffee Roasters,Wrecking Ball Coffee Roasters,San Francisco,426 45th Ave,Outer Richmond,"{'type': 'Point', 'coordinates': [-122.506282, 37.780467]}",2013-06-24T00:00:00.000,2014-09-05T00:00:00.000,
94103,Wrecking Ball Coffee Roasters,Wrecking Ball Coffee Roasters,San Francisco,1580 Folsom St,Mission,,2018-09-01T00:00:00.000,,
94107,Wrecking Ball Coffee Roasters,Wrecking Ball Coffee Roasters,San Francisco,88 Colin P. Kelly Junior St,Financial District/South Beach,,2018-09-01T00:00:00.000,,"Restaurant Less Than 1,000 Sqft"
94116,Lady Falcon Coffee Club,Java Beach Coffee Roasters Inc,San Francisco,3620 Wawona St,Sunset/Parkside,"{'type': 'Point', 'coordinates': [-122.505743, 37.736132]}",2015-10-22T00:00:00.000,,
94116,Lady Falcon Coffee Club,Java Beach Coffee Roasters Inc,San Francisco,3620 Wawona St,Sunset/Parkside,,2015-05-14T00:00:00.000,,Mobile Food Facility 4
94103,Saint Frank Coffee,St Frank Coffee Llc,San Francisco,1081 Mission St,South of Market,,2017-05-31T00:00:00.000,,"Restaurant Less Than 1,000 Sqft"
94109,Saint Frank Coffee,St Frank Coffee Llc,San Francisco,2340 Polk St,Russian Hill,"{'type': 'Point', 'coordinates': [-122.422279, 37.798424]}",2013-04-22T00:00:00.000,,"Restaurant Less Than 1,000 Sqft"
94107,Linea Caffe,Linea Caffe Llc,San Francisco,1125 Mariposa St,Potrero Hill,,2019-03-31T00:00:00.000,,
94110,Linea Caffe,Linea Caffe Llc,San Francisco,3417 18th St,Mission,"{'type': 'Point', 'coordinates': [-122.419756, 37.761807]}",2013-01-31T00:00:00.000,,"Restaurant Less Than 1,000 Sqft"
94107,Linea Caffe Llc,Linea Caffe Llc,San Francisco,1125 Mariposa St,Potrero Hill,,2019-03-31T00:00:00.000,,
94104,Coffee Cultures Inc,Coffee Cultures Inc,San Francisco,225 Bush St Ste 120,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.401213, 37.791131]}",2013-06-24T00:00:00.000,2018-11-01T00:00:00.000,Take-Out Establishment
94103,Coffee Cultures Soma,Coffee Cultures Soma,San Francisco,1301 Mission St,,,2016-03-16T00:00:00.000,,"Restaurant Greater Than 2,000 Sqft"
94133,Beacon Coffee & Pantry,Curbside Pantry Llc,San Francisco,805 Columbus Ave,Russian Hill,"{'type': 'Point', 'coordinates': [-122.413109, 37.802327]}",2012-10-01T00:00:00.000,,Retail Food Market W/food Prep. Lt 5001 Sqft
94133,Beacon Coffee Shop,Independent Plumbing Co Inc,San Francisco,807 Columbus St,,"{'type': 'Point', 'coordinates': [-122.413226, 37.802402]}",2014-09-10T00:00:00.000,2014-10-13T00:00:00.000,
94103,Sextant Coffee Roaster,Ahmed Kinani A,San Francisco,1415 Folsom St,South of Market,"{'type': 'Point', 'coordinates': [-122.413057, 37.772637]}",2014-04-23T00:00:00.000,2010-12-31T00:00:00.000,
94103,Sextant Coffee Roasters,Sextant Coffee Roasters,San Francisco,1415 Folsom St,,"{'type': 'Point', 'coordinates': [-122.413057, 37.772637]}",2015-01-01T00:00:00.000,,"Restaurant 1,000 - 2,000 Sqft"
94102,Equator Coffees,"Equator Coffees, Llc",San Francisco,986 Market St,,,2017-08-01T00:00:00.000,,Take-Out Establishment
94105,Equator Coffees & Teas,Equator Coffees & Teas Inc,San Francisco,222 2nd St,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.398031, 37.786598]}",2016-06-14T00:00:00.000,2017-07-31T00:00:00.000,
94102,Equator Coffees & Teas,Equator Coffees & Teas Inc,San Francisco,986 Market St,,"{'type': 'Point', 'coordinates': [-122.410037, 37.782443]}",2014-08-21T00:00:00.000,2017-07-31T00:00:00.000,
94105,Equator Coffees,"Equator Coffees, Llc",San Francisco,222 2nd St,Financial District/South Beach,,2017-08-01T00:00:00.000,,"Restaurant Less Than 1,000 Sqft"
94123,Equator Coffees,"Equator Coffees, Llc",San Francisco,2 Marina Blvd,Marina,,2017-08-01T00:00:00.000,,
94901,Equator Coffees & Teas Inc,Equator Coffees & Teas Inc,San+rafael,115 Jordan St,,"{'type': 'Point', 'coordinates': [-122.52336, 37.965484]}",2010-02-01T00:00:00.000,2017-07-31T00:00:00.000,
94133,Caffe Trieste,Caffe Trieste Inc,San Francisco,601 Vallejo St,North Beach,"{'type': 'Point', 'coordinates': [-122.407342, 37.798756]}",1991-01-01T00:00:00.000,,"Restaurant Less Than 1,000 Sqft"
94133,Caffe Trieste Superb Coffees,Caffe Trieste Superb Coffe Inc,San Francisco,609 Vallejo St,North Beach,"{'type': 'Point', 'coordinates': [-122.407506, 37.798737]}",1992-01-01T00:00:00.000,,Multiple
94103,Caffe Trieste,Sf Cafe Partners Llc,San Francisco,1667 Market St,Mission,"{'type': 'Point', 'coordinates': [-122.421267, 37.773445]}",2006-06-06T00:00:00.000,2018-06-30T00:00:00.000,
94107,Caffe Trieste Superb Coffees,Caffe Trieste Superb Coffe Inc,San Francisco,1465 25th St,Bayview Hunters Point,"{'type': 'Point', 'coordinates': [-122.393226, 37.75251]}",1993-03-18T00:00:00.000,,Storage & Use Of Flammable Or Combustible Liquids
94111,Chapel Hill Coffee Llc,Chapel Hill Coffee Llc,San Francisco,670 Commerical St Unit B,Chinatown,"{'type': 'Point', 'coordinates': [-122.40423, 37.794071]}",2014-11-01T00:00:00.000,,"Restaurant Less Than 1,000 Sqft"
94102,Mazarine Coffee,Mazarine Coffee Llc,San Francisco,720 Market St,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.403885, 37.787325]}",2014-05-27T00:00:00.000,,"Restaurant 1,000 - 2,000 Sqft"
94105,La Capra Coffee,Hsm Coffee Llc,San Francisco,50 Fremont St 110,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.3971, 37.790767]}",2014-09-08T00:00:00.000,,"Restaurant 1,000 - 2,000 Sqft"
94107,La Capra Coffee,Shm Coffee Llc,San Francisco,360 3rd St Ste 101,South of Market,"{'type': 'Point', 'coordinates': [-122.398043, 37.783077]}",2015-04-27T00:00:00.000,,Multiple
94107,Provender,Potrero Provender Llc,San Francisco,1415 18th St,,"{'type': 'Point', 'coordinates': [-122.39668, 37.762573]}",2015-02-26T00:00:00.000,2019-09-23T00:00:00.000,"Restaurant Less Than 1,000 Sqft"
94107,Provender,Provender Llc,San Francisco,1415 18th St,,,2019-08-30T00:00:00.000,,
94107,Provender Coffee,Provender Llc,San Francisco,1415 18th St,,,2019-08-30T00:00:00.000,2019-09-03T00:00:00.000,
94107,Farleys,Hillyard Roger W,San Francisco,1315 18th St,Potrero Hill,"{'type': 'Point', 'coordinates': [-122.395981, 37.762614]}",1989-02-14T00:00:00.000,2011-05-31T00:00:00.000,
94107,Reveille Coffee Co,Ever88 Llc,San Francisco,937 Harrison St,,,2017-06-27T00:00:00.000,2019-08-02T00:00:00.000,
94107,Reveille Coffee Truck,New England Dough Boys Inc,San Francisco,937 Harrison St,,"{'type': 'Point', 'coordinates': [-122.402635, 37.778419]}",2010-04-15T00:00:00.000,2019-08-06T00:00:00.000,Mobile Food Facility 5
94111,Reveille Coffee,Mr Lucky 0168 Llc,San Francisco,768 Sansome St,,,2019-08-02T00:00:00.000,,
94107,Reveille Coffee,New England Dough Boys Inc,San Francisco,937 Harrison St,,"{'type': 'Point', 'coordinates': [-122.402635, 37.778419]}",2010-04-15T00:00:00.000,2019-08-06T00:00:00.000,
94133,Reveille Coffee Co,New England Dough Boys Inc,San Francisco,200 Columbus Ave,North Beach,"{'type': 'Point', 'coordinates': [-122.406009, 37.797401]}",2012-08-24T00:00:00.000,2019-08-06T00:00:00.000,Multiple
94114,Reveille Coffee Co,Mmnllc,San Francisco,4076 18th St,Castro/Upper Market,"{'type': 'Point', 'coordinates': [-122.434493, 37.76092]}",2013-12-11T00:00:00.000,,"Restaurant Less Than 1,000 Sqft"
94107,Reveille Coffee Roasters,Shy Girl Llc,San Francisco,610 Long Bridge St,Mission Bay,,2015-05-21T00:00:00.000,,
94133,Reveille Coffee,Mr Lucky 0168 Llc,San Francisco,200 Columbus Ave,North Beach,,2018-07-30T00:00:00.000,,
94133,Caffe Puccini,Lucchesi Graziano,San Francisco,411 Columbus Ave,Chinatown,"{'type': 'Point', 'coordinates': [-122.408031, 37.798757]}",1991-08-09T00:00:00.000,2017-10-10T00:00:00.000,"Restaurant Less Than 1,000 Sqft"
